# tipo: estatico
# modo: real
# amplitud_rad: 0.5
# articulaciones: Shoulder_Rotation, Shoulder_Pitch, Elbow, Wrist_Pitch, Wrist_Roll
# repeticiones: 2
# reposo_s: 2.0
# duracion_escalon_s: 0.1
# fecha: 2026-09-25 10:08:19
t,etiqueta,obj_Shoulder_Rotation,obj_Shoulder_Pitch,obj_Elbow,obj_Wrist_Pitch,obj_Wrist_Roll,pos_Shoulder_Rotation,pos_Shoulder_Pitch,pos_Elbow,pos_Wrist_Pitch,pos_Wrist_Roll,vel_Shoulder_Rotation,vel_Shoulder_Pitch,vel_Elbow,vel_Wrist_Pitch,vel_Wrist_Roll,esf_Shoulder_Rotation,esf_Shoulder_Pitch,esf_Elbow,esf_Wrist_Pitch,esf_Wrist_Roll
1.5136,mover,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00460,0.01074,0.03682,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-3.20,6.40,20.00,0.00,0.00
1.5263,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00460,0.01074,0.03682,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-3.20,6.40,20.00,0.00,0.00
1.5641,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00460,0.01074,0.03682,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.40,2.40,14.80,0.00,0.00
1.5784,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00460,0.01227,0.03682,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,-2.00,9.20,0.00,0.00
1.6119,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00460,0.01534,0.03682,0.00153,0.00000,0.00000,0.15340,0.00000,0.00000,0.00000,0.00,4.00,2.80,0.00,0.00
1.6292,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.01994,0.03682,0.00153,0.00000,0.00000,0.07670,0.00000,0.00000,0.00000,-2.40,7.20,0.00,0.00,0.00
1.6485,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04295,0.00153,0.00000,-0.07670,0.07670,0.07670,0.00000,0.00000,-2.80,7.60,5.60,0.00,0.00
1.6661,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04755,0.00153,0.00000,0.00000,0.00000,0.23010,0.00000,0.00000,-2.40,7.20,10.00,0.00,0.00
1.6909,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02301,0.04909,0.00153,0.00000,0.00000,0.07670,0.07670,0.00000,0.00000,-2.40,8.00,9.20,0.00,0.00
1.7173,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02301,0.04909,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,8.00,8.80,0.00,0.00
1.7313,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00460,0.02301,0.04909,0.00153,0.00000,0.07670,0.00000,0.00000,0.00000,0.00000,2.00,8.00,9.60,0.00,0.00
1.7440,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00460,0.02148,0.04755,0.00153,0.00000,0.00000,0.00000,-0.07670,0.00000,0.00000,0.00,7.20,8.80,0.00,0.00
1.7585,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00460,0.02148,0.04755,0.00153,0.00000,0.00000,-0.07670,-0.07670,0.00000,0.00000,0.00,6.80,9.60,0.00,0.00
1.7833,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00460,0.02148,0.04755,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,8.00,10.00,0.00,0.00
1.8011,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00460,0.02148,0.04755,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,8.40,10.40,0.00,0.00
1.8182,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04755,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-2.80,8.00,10.80,0.00,0.00
1.8395,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04755,0.00153,0.00000,-0.07670,0.00000,0.00000,0.00000,0.00000,-2.80,8.00,11.20,0.00,0.00
1.8616,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04755,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,8.00,11.60,0.00,0.00
1.8777,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04755,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,8.00,12.00,0.00,0.00
1.9014,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04755,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,8.00,13.20,0.00,0.00
1.9227,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04755,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,8.80,12.80,0.00,0.00
1.9378,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04755,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,8.80,13.60,0.00,0.00
1.9574,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04755,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-3.20,8.80,14.40,0.00,0.00
1.9774,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04755,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-3.60,8.80,14.80,0.00,0.00
1.9970,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04755,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-3.20,9.60,15.20,0.00,0.00
2.0180,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04755,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-3.20,10.00,16.40,0.00,0.00
2.0494,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04755,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-3.20,9.60,17.20,0.00,0.00
2.0666,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04602,0.00153,0.00000,0.00000,0.00000,-0.07670,0.00000,0.00000,-3.20,9.60,16.80,0.00,0.00
2.0814,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04449,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-3.20,10.40,16.00,0.00,0.00
2.0972,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04449,0.00153,0.00000,0.00000,0.00000,-0.07670,0.00000,0.00000,-3.20,10.80,16.40,0.00,0.00
2.1325,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04449,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-3.20,10.40,16.80,0.00,0.00
2.1480,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04449,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-3.20,10.40,17.60,0.00,0.00
2.1710,reposo|Shoulder_Rotation|1|0|+0.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00614,0.02148,0.04449,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-4.00,10.40,18.80,0.00,0.00
