# tipo: repetibilidad
# modo: real
# ciclos: 30
# retiro_rad: [0.0, -0.2, 0.0, 0.0, 0.0]
# reposo_s: 2.0
# velocidad_rad_s: 0.4
# fecha: 2026-09-25 10:15:00
# objetivo_rad: [-0.0031, 0.0491, 0.0368, 0.0015, 0.0015]
t,etiqueta,obj_Shoulder_Rotation,obj_Shoulder_Pitch,obj_Elbow,obj_Wrist_Pitch,obj_Wrist_Roll,pos_Shoulder_Rotation,pos_Shoulder_Pitch,pos_Elbow,pos_Wrist_Pitch,pos_Wrist_Roll,vel_Shoulder_Rotation,vel_Shoulder_Pitch,vel_Elbow,vel_Wrist_Pitch,vel_Wrist_Roll,esf_Shoulder_Rotation,esf_Shoulder_Pitch,esf_Elbow,esf_Wrist_Pitch,esf_Wrist_Roll
0.0382,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.04909,0.03682,0.00153,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,26.40,20.00,0.00,0.00
0.0540,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.04909,0.03682,0.00153,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,26.40,20.00,0.00,0.00
0.0862,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.04909,0.03682,0.00153,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,2.00,22.80,15.20,0.00,0.00
0.1031,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.04909,0.03682,0.00153,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,18.00,10.00,0.00,0.00
0.1307,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.04909,0.03682,0.00153,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,7.20,2.40,0.00,0.00
0.1628,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.04909,0.03988,0.00153,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,2.00,2.40,0.00,0.00
0.1822,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.05216,0.04602,0.00153,0.00153,0.00000,0.07670,0.23010,0.00000,0.00000,0.00,2.40,6.40,0.00,0.00
0.1993,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.05522,0.04755,0.00153,0.00153,0.00000,0.23010,0.15340,0.00000,0.00000,0.00,8.00,7.60,0.00,0.00
0.2262,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.05983,0.04909,0.00153,0.00153,0.00000,0.15340,0.00000,0.00000,0.00000,0.00,14.00,7.20,0.00,0.00
0.2472,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.06136,0.05062,0.00153,0.00153,0.00000,0.15340,0.07670,0.00000,0.00000,0.00,16.80,8.40,0.00,0.00
0.2734,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.06136,0.05062,0.00153,0.00153,0.00000,0.00000,0.07670,0.00000,0.00000,0.00,19.20,8.40,0.00,0.00
0.2839,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00153,0.06136,0.05062,0.00153,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,20.00,8.00,0.00,0.00
0.3044,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,0.00000,0.05829,0.04909,0.00153,0.00153,0.07670,-0.07670,0.00000,0.00000,0.00000,2.40,20.00,6.80,0.00,0.00
0.3277,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,0.00000,0.05676,0.04909,0.00153,0.00153,0.07670,-0.07670,0.00000,0.00000,0.00000,2.40,21.20,7.20,0.00,0.00
0.3460,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,0.00000,0.05676,0.04909,0.00153,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,2.40,24.00,7.20,0.00,0.00
0.3835,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00153,0.05522,0.04909,0.00153,0.00153,-0.07670,-0.07670,0.00000,0.00000,0.00000,-2.00,26.40,7.20,0.00,0.00
0.4176,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.05522,0.04909,0.00153,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,28.80,7.20,0.00,0.00
0.4417,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.05369,0.04909,0.00153,0.00153,-0.07670,-0.07670,0.00000,0.00000,0.00000,0.00,30.80,7.20,0.00,0.00
0.4634,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.05216,0.04909,0.00153,0.00153,0.00000,-0.07670,0.00000,0.00000,0.00000,0.00,34.80,7.20,0.00,0.00
0.4884,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.04602,0.04909,0.00153,0.00153,0.00000,-0.15340,0.00000,0.00000,0.00000,0.00,35.60,7.20,0.00,0.00
0.5103,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.03682,0.04909,0.00153,0.00153,0.00000,-0.30680,0.00000,0.00000,0.00000,0.00,33.20,7.20,0.00,0.00
0.5433,retiro,-0.00307,-0.15091,0.03682,0.00153,0.00153,-0.00307,0.03068,0.04909,0.00153,0.00153,0.00000,-0.23010,0.00000,0.00000,0.00000,0.00,34.00,7.20,0.00,0.00
