# tipo: carga
# modo: real
# carga: 227g
# poses: ['medio', 'init', 'extendido']
# reposo_s: 5.0
# fecha: 2026-09-25 10:22:01
t,etiqueta,obj_Shoulder_Rotation,obj_Shoulder_Pitch,obj_Elbow,obj_Wrist_Pitch,obj_Wrist_Roll,pos_Shoulder_Rotation,pos_Shoulder_Pitch,pos_Elbow,pos_Wrist_Pitch,pos_Wrist_Roll,vel_Shoulder_Rotation,vel_Shoulder_Pitch,vel_Elbow,vel_Wrist_Pitch,vel_Wrist_Roll,esf_Shoulder_Rotation,esf_Shoulder_Pitch,esf_Elbow,esf_Wrist_Pitch,esf_Wrist_Roll
0.6038,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00153,0.05676,0.01994,0.01381,-0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,30.40,11.20,8.00,0.00
0.6262,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00153,0.05676,0.01994,0.01381,-0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,30.40,11.20,8.00,0.00
0.6388,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00153,0.05676,0.01994,0.01381,-0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,28.80,9.60,6.40,0.00
0.6575,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00153,0.05676,0.01994,0.01381,-0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,25.60,5.60,2.40,0.00
0.6804,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00153,0.05676,0.02454,0.01381,-0.00153,0.00000,0.00000,0.07670,0.00000,0.00000,0.00,17.60,4.00,-2.40,0.00
0.6940,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00153,0.05676,0.02915,0.01687,-0.00153,0.00000,0.00000,0.23010,0.15340,0.00000,0.00,12.00,5.60,4.00,0.00
0.7367,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00153,0.05676,0.04295,0.01994,-0.00153,0.00000,0.00000,0.38350,0.15340,0.00000,0.00,2.80,13.60,5.60,0.00
0.7535,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00153,0.06443,0.04449,0.01994,-0.00153,0.00000,0.07670,0.15340,0.00000,0.00000,0.00,7.20,11.60,4.80,0.00
0.7787,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00153,0.07517,0.04449,0.01994,-0.00153,0.00000,0.46019,0.00000,0.00000,0.00000,0.00,14.40,10.00,4.80,0.00
0.8038,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00307,0.08590,0.04755,0.02148,-0.00153,-0.07670,0.38350,0.07670,0.00000,0.00000,-2.80,24.00,10.00,5.60,0.00
