# tipo: carga
# modo: real
# carga: sin_carga
# poses: ['medio', 'init', 'extendido']
# reposo_s: 5.0
# fecha: 2026-09-25 10:19:35
t,etiqueta,obj_Shoulder_Rotation,obj_Shoulder_Pitch,obj_Elbow,obj_Wrist_Pitch,obj_Wrist_Roll,pos_Shoulder_Rotation,pos_Shoulder_Pitch,pos_Elbow,pos_Wrist_Pitch,pos_Wrist_Roll,vel_Shoulder_Rotation,vel_Shoulder_Pitch,vel_Elbow,vel_Wrist_Pitch,vel_Wrist_Roll,esf_Shoulder_Rotation,esf_Shoulder_Pitch,esf_Elbow,esf_Wrist_Pitch,esf_Wrist_Roll
1.4106,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00307,-0.12885,0.05522,0.00920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,12.00,10.40,4.80,0.00
1.4362,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00307,-0.12885,0.05522,0.00920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,12.00,10.40,4.00,0.00
1.4630,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00307,-0.12885,0.05522,0.00920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,8.80,7.60,-2.80,0.00
1.4881,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00307,-0.12885,0.05522,0.01074,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,-3.60,2.40,0.00
1.5050,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00307,-0.12885,0.05983,0.01074,0.00000,0.00000,0.00000,0.15340,0.07670,0.00000,0.00,-2.80,0.00,2.80,0.00
1.5408,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00307,-0.12425,0.06903,0.01074,0.00000,0.00000,0.15340,0.30680,0.00000,0.00000,0.00,5.60,6.40,2.40,0.00
1.5581,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00307,-0.11965,0.07056,0.01074,0.00000,0.00000,0.23010,0.07670,0.00000,0.00000,0.00,9.20,6.80,2.40,0.00
1.5845,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00307,-0.11658,0.07363,0.01074,0.00153,0.00000,0.07670,0.15340,0.00000,0.07670,0.00,12.40,6.40,2.40,0.00
1.6044,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00307,-0.11658,0.07670,0.01074,0.00153,0.00000,0.00000,0.07670,0.00000,0.00000,0.00,13.60,6.40,2.40,0.00
1.6291,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,-0.00153,-0.11658,0.07823,0.01074,0.00153,0.00000,0.00000,0.07670,0.00000,0.00000,0.00,14.80,4.40,2.40,0.00
1.6455,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,0.00000,-0.11965,0.07823,0.01074,0.00153,0.07670,-0.07670,0.07670,0.00000,0.00000,0.00,16.40,2.00,2.40,0.00
1.6683,mover,0.00000,-0.90000,0.90000,0.00000,0.00000,0.00000,-0.12118,0.07977,0.01074,0.00153,0.00000,-0.07670,0.00000,0.00000,0.00000,0.00,16.00,-2.40,2.40,0.00
