# tipo: termico
# minutos: 30.0
# amplitud_grados: 20.0
# limite_C: 55
t_s,id,pos_ticks,temp_C,carga_pm,tension_V,corriente_A
0.0,1,2046,38,-24,7.3,0.006
0.0,2,2056,54,72,7.3,0.019
0.0,3,2070,49,192,7.2,0.143
0.0,4,2053,38,48,7.2,0.006
0.0,5,2049,37,0,7.2,0.000
0.0,6,2047,37,0,7.2,0.000
10.0,1,2046,38,-24,7.3,0.000
10.0,2,1839,53,152,7.3,0.091
10.0,3,2283,49,72,7.3,0.019
10.0,4,1825,38,40,7.2,0.006
10.0,5,2049,37,0,7.2,0.000
10.0,6,2046,38,-24,7.3,0.006
20.0,1,2046,38,-24,7.3,0.006
20.0,2,2285,53,88,7.3,0.026
20.0,3,1846,49,208,7.2,0.208
20.0,4,2274,38,0,7.2,0.000
20.0,5,2049,37,0,7.2,0.000
20.0,6,2046,38,-24,7.2,0.006
30.0,1,2046,38,-24,7.3,0.000
30.0,2,1839,53,152,7.3,0.091
30.0,3,2283,49,80,7.3,0.026
30.0,4,1825,38,40,7.2,0.006
30.0,5,2049,37,0,7.2,0.000
30.0,6,2046,38,-24,7.3,0.000
40.0,1,2046,38,-24,7.3,0.006
40.0,2,1840,53,160,7.3,0.091
40.0,3,2283,48,72,7.3,0.019
40.0,4,1825,38,40,7.2,0.006
40.0,5,2049,37,0,7.2,0.000
40.0,6,2046,38,-24,7.2,0.006
50.0,1,2046,38,-24,7.3,0.000
50.0,2,2286,53,96,7.3,0.033
50.0,3,1846,49,208,7.2,0.149
50.0,4,2274,38,0,7.2,0.000
50.0,5,2049,37,0,7.2,0.000
50.0,6,2046,38,-24,7.2,0.006
60.0,1,2046,38,-24,7.4,0.000
60.0,2,1839,49,152,7.3,0.085
60.0,3,2283,49,84,7.3,0.026
60.0,4,1825,38,40,7.3,0.000
60.0,5,2049,37,0,7.2,0.000
60.0,6,2046,38,-24,7.2,0.000
70.0,1,2046,38,-24,7.3,0.000
70.0,2,1839,53,152,7.3,0.071
70.0,3,2283,48,72,7.3,0.019
70.0,4,1825,38,40,7.2,0.006
70.0,5,2049,37,0,7.2,0.000
70.0,6,2046,38,-24,7.3,0.000
80.0,1,2046,38,-24,7.3,0.000
80.0,2,2286,53,96,7.3,0.026
80.0,3,1846,48,208,7.2,0.149
80.0,4,2274,38,0,7.2,0.000
80.0,5,2049,37,0,7.2,0.000
80.0,6,2046,38,-24,7.2,0.006
90.0,1,2046,38,-24,7.3,0.006
90.0,2,1839,53,152,7.3,0.071
90.0,3,2283,49,80,7.3,0.019
90.0,4,1825,38,40,7.3,0.006
90.0,5,2049,37,0,7.2,0.000
90.0,6,2046,37,-24,7.2,0.006
100.0,1,2046,38,-24,7.3,0.000
100.0,2,1839,53,152,7.3,0.078
100.0,3,2283,48,72,7.2,0.019
100.0,4,1825,38,40,7.2,0.006
100.0,5,2049,37,0,7.2,0.000
100.0,6,2046,37,-24,7.3,0.000
110.0,1,2046,38,-24,7.3,0.000
110.0,2,2286,53,96,7.3,0.026
110.0,3,1846,49,208,7.2,0.149
110.0,4,2274,38,0,7.2,0.000
110.0,5,2049,37,0,7.2,0.000
110.0,6,2046,37,-24,7.2,0.000
120.0,1,2046,38,-24,7.3,0.000
120.0,2,1839,53,152,7.3,0.091
120.0,3,2283,49,80,7.3,0.026
120.0,4,1825,38,40,7.3,0.013
120.1,5,2049,37,0,7.2,0.000
120.1,6,2046,38,-24,7.2,0.006
130.0,1,2046,38,-24,7.4,0.006
130.0,2,1839,52,152,7.3,0.078
130.0,3,2283,49,72,7.3,0.019
130.0,4,1825,38,40,7.2,0.006
130.0,5,2049,37,0,7.2,0.000
130.0,6,2046,38,-24,7.2,0.006
140.0,1,2046,38,-24,7.3,0.000
140.0,2,2286,52,96,7.3,0.026
140.0,3,1846,49,208,7.2,0.175
140.0,4,2274,38,0,7.2,0.000
140.0,5,2049,37,0,7.2,0.000
140.0,6,2046,37,-24,7.2,0.000
150.0,1,2046,38,-24,7.4,0.000
150.0,2,1839,52,152,7.4,0.078
150.0,3,2283,49,80,7.3,0.026
150.0,4,1825,38,40,7.2,0.006
150.0,5,2049,37,0,7.2,0.000
150.0,6,2046,37,-24,7.2,0.006
160.0,1,2046,38,-24,7.3,0.000
160.0,2,1839,52,152,7.4,0.071
160.0,3,2283,48,72,7.3,0.019
160.0,4,1825,38,40,7.2,0.006
160.0,5,2049,37,0,7.2,0.000
160.0,6,2046,37,-24,7.2,0.006
170.0,1,2046,38,-24,7.3,0.000
170.0,2,2286,52,96,7.3,0.033
170.0,3,1846,48,208,7.2,0.156
170.0,4,2274,38,0,7.2,0.000
170.0,5,2049,37,0,7.2,0.000
170.0,6,2046,38,-24,7.2,0.000
180.0,1,2046,38,-24,7.4,0.006
180.0,2,1840,52,160,7.3,0.104
180.0,3,2283,49,80,7.3,0.019
180.0,4,1825,38,40,7.2,0.006
180.0,5,2049,37,0,7.2,0.000
180.0,6,2046,37,-24,7.2,0.000
190.0,1,2046,38,-24,7.3,0.006
190.0,2,1840,52,160,7.4,0.078
190.0,3,2283,49,72,7.3,0.019
190.1,4,1825,38,40,7.2,0.013
190.1,5,2049,37,0,7.2,0.000
190.1,6,2046,38,-24,7.2,0.000
200.0,1,2046,38,-24,7.3,0.000
200.0,2,2286,52,96,7.3,0.033
200.0,3,1846,49,208,7.2,0.156
200.0,4,2274,38,0,7.2,0.000
200.0,5,2049,37,0,7.0,0.000
200.0,6,2046,38,-24,7.2,0.006
210.0,1,2046,38,-24,7.3,0.000
210.0,2,1839,52,152,7.4,0.091
210.0,3,2283,49,80,7.3,0.019
210.0,4,1825,38,40,7.2,0.013
210.0,5,2049,37,0,7.2,0.000
210.0,6,2046,37,-24,7.3,0.000
220.0,1,2046,38,-24,7.3,0.000
220.0,2,1839,52,152,7.4,0.071
220.0,3,2283,49,72,7.3,0.019
220.0,4,1825,38,40,7.3,0.006
220.0,5,2049,37,0,7.2,0.000
