# tipo: escalon
# modo: real
# amplitud_rad: 0.3
# articulaciones: Shoulder_Rotation, Shoulder_Pitch, Elbow, Wrist_Pitch, Wrist_Roll
# repeticiones: 2
# reposo_s: 2.0
# duracion_escalon_s: 0.1
# fecha: 2026-09-25 10:23:50
t,etiqueta,obj_Shoulder_Rotation,obj_Shoulder_Pitch,obj_Elbow,obj_Wrist_Pitch,obj_Wrist_Roll,pos_Shoulder_Rotation,pos_Shoulder_Pitch,pos_Elbow,pos_Wrist_Pitch,pos_Wrist_Roll,vel_Shoulder_Rotation,vel_Shoulder_Pitch,vel_Elbow,vel_Wrist_Pitch,vel_Wrist_Roll,esf_Shoulder_Rotation,esf_Shoulder_Pitch,esf_Elbow,esf_Wrist_Pitch,esf_Wrist_Roll
0.0365,mover,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00307,0.04295,0.02148,0.00767,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,23.20,12.00,4.80,0.00
0.0524,mover,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00307,0.04295,0.02148,0.00767,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,23.20,12.00,4.80,0.00
0.0661,mover,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00307,0.04295,0.02148,0.00767,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,23.20,12.00,4.80,0.00
0.0939,mover,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00307,0.04295,0.02148,0.00767,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,23.20,12.00,4.80,0.00
0.1096,mover,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00307,0.04295,0.02148,0.00767,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,23.20,12.00,4.80,0.00
0.1332,mover,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00307,0.04295,0.02148,0.00767,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,23.20,12.00,4.80,0.00
0.1571,mover,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00307,0.04295,0.02148,0.00767,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,23.20,12.00,4.80,0.00
0.1816,mover,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00307,0.04295,0.02148,0.00767,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,23.20,12.00,4.80,0.00
0.2061,mover,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00307,0.04295,0.02148,0.00767,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,23.20,12.00,4.80,0.00
0.2338,mover,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00307,0.04295,0.02148,0.00767,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,23.20,12.00,4.80,0.00
0.2525,mover,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00307,0.04295,0.02148,0.00767,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,23.20,12.00,4.80,0.00
0.2640,mover,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00307,0.04295,0.02148,0.00767,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,23.20,12.00,4.80,0.00
0.2835,mover,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00307,0.04295,0.02148,0.00767,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,23.20,12.00,4.80,0.00
0.3060,mover,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00307,0.04295,0.02148,0.00767,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,-2.40,23.20,12.00,4.80,0.00
